coupon_id,item_id,brand,brand_type,category
518,995,278,Established,Grocery
520,995,278,Established,Grocery
524,995,278,Established,Grocery
529,995,278,Established,Grocery
43,1000,5377,Established,Grocery
42,1000,5377,Established,Grocery
599,1001,487,Established,Grocery
596,1001,487,Established,Grocery
415,1002,89,Established,Grocery
913,1004,1134,Established,Grocery
590,1006,475,Established,Grocery
492,1009,209,Established,Grocery
396,1010,57,Established,Pharmaceutical
397,1010,57,Established,Pharmaceutical
398,1010,57,Established,Pharmaceutical
395,1010,57,Established,Pharmaceutical
399,1010,57,Established,Pharmaceutical
705,1013,714,Established,Grocery
591,1015,475,Established,Grocery
578,1017,412,Established,Grocery
527,1022,278,Established,Grocery
525,1022,278,Established,Grocery
721,1028,782,Established,Grocery
722,1028,782,Established,Grocery
869,1033,1075,Established,Grocery
868,1033,1075,Established,Grocery
870,1033,1075,Established,Grocery
562,1035,360,Established,Grocery
895,1036,1101,Established,Grocery
671,1040,676,Established,Grocery
670,1040,676,Established,Grocery
584,1041,461,Established,Grocery
587,1041,461,Established,Grocery
431,1046,115,Established,Pharmaceutical
578,1049,412,Established,Grocery
492,1050,209,Established,Grocery
492,1051,209,Established,Grocery
496,1051,209,Established,Grocery
432,1058,119,Established,Grocery
618,1063,522,Established,Grocery
691,1065,686,Established,Pharmaceutical
878,1066,1088,Established,Grocery
869,1067,1075,Established,Grocery
870,1067,1075,Established,Grocery
868,1067,1075,Established,Grocery
810,1071,982,Established,Seafood
809,1071,982,Established,Seafood
403,1073,57,Established,Grocery
404,1073,57,Established,Grocery
405,1073,57,Established,Grocery
869,1084,1075,Established,Grocery
870,1084,1075,Established,Grocery
868,1084,1075,Established,Grocery
562,1085,360,Established,Grocery
1109,1087,2320,Established,Grocery
691,1088,686,Established,Pharmaceutical
562,1091,360,Established,Grocery
389,1093,57,Established,Pharmaceutical
834,1093,57,Established,Pharmaceutical
401,1093,57,Established,Pharmaceutical
833,1093,57,Established,Pharmaceutical
390,1093,57,Established,Pharmaceutical
864,1097,1061,Established,Grocery
599,1098,487,Established,Grocery
597,1098,487,Established,Grocery
42,1101,1300,Established,Grocery
43,1101,1300,Established,Grocery
584,1102,461,Established,Grocery
587,1102,461,Established,Grocery
578,1105,412,Established,Grocery
864,1110,1061,Established,Grocery
578,1111,412,Established,Grocery
584,1113,461,Established,Grocery
587,1113,461,Established,Grocery
869,1124,1075,Established,Grocery
870,1124,1075,Established,Grocery
868,1124,1075,Established,Grocery
869,1125,1075,Established,Grocery
870,1125,1075,Established,Grocery
868,1125,1075,Established,Grocery
982,1129,1337,Established,Grocery
42,1130,231,Established,Grocery
43,1130,231,Established,Grocery
869,1135,1075,Established,Grocery
870,1135,1075,Established,Grocery
868,1135,1075,Established,Grocery
938,1137,1162,Established,Pharmaceutical
389,1144,57,Established,Pharmaceutical
834,1144,57,Established,Pharmaceutical
833,1144,57,Established,Pharmaceutical
390,1144,57,Established,Pharmaceutical
401,1144,57,Established,Pharmaceutical
492,1147,209,Established,Grocery
496,1147,209,Established,Grocery
869,1153,1075,Established,Grocery
868,1153,1075,Established,Grocery
870,1153,1075,Established,Grocery
42,1154,1300,Established,Grocery
43,1154,1300,Established,Grocery
562,1155,360,Established,Grocery
38,1163,946,Established,Grocery
788,1163,946,Established,Grocery
791,1163,946,Established,Grocery
526,1164,278,Established,Grocery
578,1172,412,Established,Grocery
869,1185,1075,Established,Grocery
868,1185,1075,Established,Grocery
870,1185,1075,Established,Grocery
869,1186,1075,Established,Grocery
868,1186,1075,Established,Grocery
870,1186,1075,Established,Grocery
641,1190,597,Established,Pharmaceutical
641,1192,597,Established,Pharmaceutical
895,1195,1101,Established,Grocery
853,1198,1030,Established,Grocery
982,1199,1337,Established,Grocery
468,1204,172,Established,Grocery
671,1212,676,Established,Grocery
670,1212,676,Established,Grocery
971,1214,1276,Established,Grocery
705,1224,714,Established,Grocery
982,1234,1337,Established,Grocery
347,1240,56,Local,Grocery
42,1242,1300,Established,Grocery
43,1242,1300,Established,Grocery
671,1245,676,Established,Grocery
670,1245,676,Established,Grocery
42,1247,1300,Established,Grocery
43,1247,1300,Established,Grocery
38,1250,946,Established,Grocery
791,1250,946,Established,Grocery
788,1250,946,Established,Grocery
938,1251,1162,Established,Pharmaceutical
781,1254,939,Established,Grocery
982,1255,1337,Established,Grocery
982,1258,1337,Established,Grocery
38,1266,946,Established,Grocery
791,1266,946,Established,Grocery
788,1266,946,Established,Grocery
38,1269,574,Established,Grocery
718,1272,782,Established,Grocery
584,1274,461,Established,Grocery
587,1274,461,Established,Grocery
42,1275,1300,Established,Grocery
43,1275,1300,Established,Grocery
671,1281,676,Established,Grocery
670,1281,676,Established,Grocery
562,1287,360,Established,Grocery
43,1288,120,Established,Grocery
42,1288,120,Established,Grocery
666,1291,673,Established,Pharmaceutical
810,1294,982,Established,Seafood
809,1294,982,Established,Seafood
982,1298,1337,Established,Grocery
853,1300,1030,Established,Grocery
788,1302,946,Established,Grocery
791,1302,946,Established,Grocery
468,1305,172,Established,Grocery
671,1311,676,Established,Grocery
670,1311,676,Established,Grocery
841,1314,2088,Established,Pharmaceutical
1088,1314,2088,Established,Pharmaceutical
1089,1314,2088,Established,Pharmaceutical
671,1315,676,Established,Grocery
670,1315,676,Established,Grocery
38,1316,946,Established,Grocery
788,1316,946,Established,Grocery
791,1316,946,Established,Grocery
347,1327,56,Local,Grocery
671,1336,676,Established,Grocery
670,1336,676,Established,Grocery
578,1346,412,Established,Grocery
726,1348,782,Established,Grocery
726,1355,782,Established,Grocery
468,1358,172,Established,Grocery
705,1364,714,Established,Grocery
671,1365,676,Established,Grocery
670,1365,676,Established,Grocery
523,1371,278,Established,Grocery
522,1372,278,Established,Grocery
518,1372,278,Established,Grocery
524,1372,278,Established,Grocery
529,1372,278,Established,Grocery
520,1372,278,Established,Grocery
38,1373,574,Established,Grocery
869,1375,1075,Established,Grocery
870,1375,1075,Established,Grocery
868,1375,1075,Established,Grocery
910,1376,281,Established,Pharmaceutical
982,1377,1337,Established,Grocery
810,1386,982,Established,Seafood
809,1386,982,Established,Seafood
697,1392,702,Established,Grocery
726,1395,782,Established,Grocery
41,1404,1636,Established,Grocery
44,1405,1124,Established,Grocery
796,1409,967,Established,Grocery
796,1413,967,Established,Grocery
432,1415,119,Established,Grocery
41,1418,1105,Established,Grocery
562,1421,360,Established,Grocery
796,1424,967,Established,Grocery
796,1426,967,Established,Grocery
810,1427,982,Established,Seafood
809,1427,982,Established,Seafood
671,1430,676,Established,Grocery
670,1430,676,Established,Grocery
781,1432,939,Established,Grocery
796,1436,967,Established,Grocery
869,1438,1075,Established,Grocery
868,1438,1075,Established,Grocery
870,1438,1075,Established,Grocery
853,1440,1030,Established,Grocery
1094,1442,2088,Established,Pharmaceutical
796,1446,967,Established,Grocery
796,1447,967,Established,Grocery
796,1448,967,Established,Grocery
41,1449,1636,Established,Grocery
783,1451,946,Established,Grocery
431,1457,115,Established,Pharmaceutical
796,1463,967,Established,Grocery
796,1464,967,Established,Grocery
982,1468,1337,Established,Grocery
796,1471,967,Established,Grocery
982,1472,1337,Established,Grocery
796,1473,967,Established,Grocery
578,1476,412,Established,Grocery
705,1477,714,Established,Grocery
389,1479,57,Established,Pharmaceutical
834,1479,57,Established,Pharmaceutical
833,1479,57,Established,Pharmaceutical
390,1479,57,Established,Pharmaceutical
401,1479,57,Established,Pharmaceutical
913,1481,1134,Established,Grocery
971,1483,1276,Established,Grocery
796,1489,967,Established,Grocery
42,1491,1101,Established,Grocery
43,1491,1101,Established,Grocery
455,1493,158,Established,Pharmaceutical
796,1497,967,Established,Grocery
796,1498,967,Established,Grocery
796,1509,967,Established,Grocery
796,1510,967,Established,Grocery
783,1511,946,Established,Grocery
787,1512,946,Established,Grocery
41,1515,1105,Established,Grocery
455,1517,158,Established,Pharmaceutical
796,1527,967,Established,Grocery
432,1530,119,Established,Grocery
41,1532,1636,Established,Grocery
811,1536,984,Established,Packaged Meat
455,1537,158,Established,Pharmaceutical
584,1540,461,Established,Grocery
562,1542,360,Established,Grocery
841,1543,2088,Established,Pharmaceutical
1088,1543,2088,Established,Pharmaceutical
1089,1543,2088,Established,Pharmaceutical
41,1544,1105,Established,Grocery
810,1546,982,Established,Seafood
809,1546,982,Established,Seafood
492,1550,209,Established,Grocery
496,1550,209,Established,Grocery
41,1556,1105,Established,Grocery
562,1558,360,Established,Grocery
38,1562,574,Established,Grocery
796,1570,967,Established,Grocery
41,1576,1105,Established,Grocery
41,1589,1105,Established,Grocery
796,1590,967,Established,Grocery
796,1591,967,Established,Grocery
43,1593,1101,Established,Grocery
42,1593,1101,Established,Grocery
578,1601,412,Established,Grocery
455,1605,158,Established,Pharmaceutical
702,1613,706,Established,Grocery
41,1614,1105,Established,Grocery
703,1618,714,Established,Grocery
522,1621,278,Established,Grocery
524,1621,278,Established,Grocery
529,1621,278,Established,Grocery
520,1621,278,Established,Grocery
518,1621,278,Established,Grocery
810,1625,982,Established,Seafood
809,1625,982,Established,Seafood
1063,1627,1953,Established,Grocery
1062,1627,1953,Established,Grocery
41,1628,1636,Established,Grocery
468,1634,172,Established,Grocery
705,1641,714,Established,Grocery
796,1642,967,Established,Grocery
796,1652,967,Established,Grocery
455,1660,158,Established,Pharmaceutical
522,1667,278,Established,Grocery
518,1667,278,Established,Grocery
520,1667,278,Established,Grocery
524,1667,278,Established,Grocery
529,1667,278,Established,Grocery
455,1673,158,Established,Pharmaceutical
41,1674,1105,Established,Grocery
705,1682,714,Established,Grocery
41,1683,1105,Established,Grocery
715,1684,777,Established,Grocery
716,1684,777,Established,Grocery
42,1686,1300,Established,Grocery
43,1686,1300,Established,Grocery
981,1690,1335,Established,Grocery
796,1693,967,Established,Grocery
703,1701,714,Established,Grocery
41,1709,1105,Established,Grocery
496,1712,209,Established,Grocery
41,1713,1636,Established,Grocery
41,1714,1105,Established,Grocery
705,1721,714,Established,Grocery
41,1729,1105,Established,Grocery
869,1733,1075,Established,Grocery
870,1733,1075,Established,Grocery
43,1736,522,Established,Grocery
42,1736,522,Established,Grocery
572,1737,400,Established,"Dairy, Juices & Snacks"
1088,1748,2088,Established,Pharmaceutical
1089,1748,2088,Established,Pharmaceutical
726,1762,782,Established,Grocery
691,1765,686,Established,Pharmaceutical
431,1768,115,Established,Pharmaceutical
705,1769,714,Established,Grocery
455,1779,158,Established,Pharmaceutical
781,1783,939,Established,Grocery
1079,1793,2024,Established,Grocery
41,1794,1105,Established,Grocery
41,1806,1105,Established,Grocery
44,1814,1124,Established,Grocery
783,1817,946,Established,Grocery
781,1822,939,Established,Grocery
1088,1823,2088,Established,Pharmaceutical
1089,1823,2088,Established,Pharmaceutical
1088,1830,2088,Established,Pharmaceutical
1089,1830,2088,Established,Pharmaceutical
878,1831,1088,Established,Grocery
878,1837,1088,Established,Grocery
864,1838,1061,Established,Grocery
44,1842,1124,Established,Grocery
819,1844,989,Established,Packaged Meat
41,1850,1105,Established,Grocery
572,1857,400,Established,"Dairy, Juices & Snacks"
864,1865,1061,Established,Grocery
43,1866,5377,Established,Grocery
42,1866,5377,Established,Grocery
787,1872,946,Established,Grocery
431,1877,115,Established,Pharmaceutical
705,1887,714,Established,Grocery
455,1896,158,Established,Pharmaceutical
783,1902,946,Established,Grocery
841,1924,2088,Established,Pharmaceutical
1099,1924,2088,Established,Pharmaceutical
1088,1924,2088,Established,Pharmaceutical
1089,1924,2088,Established,Pharmaceutical
1081,1926,2025,Established,Grocery
44,1932,1124,Established,Grocery
841,1935,2088,Established,Pharmaceutical
1088,1935,2088,Established,Pharmaceutical
1089,1935,2088,Established,Pharmaceutical
1079,1941,2024,Established,Grocery
107,1942,56,Local,Grocery
787,1944,946,Established,Grocery
841,1945,2088,Established,Pharmaceutical
1089,1945,2088,Established,Pharmaceutical
1088,1945,2088,Established,Pharmaceutical
44,1950,1124,Established,Grocery
1079,1954,2024,Established,Grocery
1016,1963,1558,Established,Grocery
572,1964,400,Established,"Dairy, Juices & Snacks"
41,1969,1105,Established,Grocery
584,1983,461,Established,Grocery
562,1990,360,Established,Grocery
456,1993,158,Established,Pharmaceutical
457,1993,158,Established,Pharmaceutical
1016,1996,1558,Established,Grocery
496,1998,209,Established,Grocery
43,2003,1630,Established,Grocery
42,2003,1630,Established,Grocery
787,2004,946,Established,Grocery
705,2017,714,Established,Grocery
1016,2020,1558,Established,Grocery
819,2024,989,Established,Packaged Meat
584,2031,461,Established,Grocery
1079,2037,2024,Established,Grocery
810,2042,982,Established,Seafood
809,2042,982,Established,Seafood
562,2045,360,Established,Grocery
549,2059,328,Established,Skin & Hair Care
1016,2060,1558,Established,Grocery
1048,2062,1796,Established,Grocery
584,2065,461,Established,Grocery
1088,2084,2088,Established,Pharmaceutical
1089,2084,2088,Established,Pharmaceutical
1048,2101,1796,Established,Grocery
28,2104,4380,Established,Pharmaceutical
732,2116,783,Established,Pharmaceutical
526,2121,278,Established,Grocery
526,2137,278,Established,Grocery
618,2139,522,Established,Grocery
619,2139,522,Established,Grocery
279,2143,4412,Established,Pharmaceutical
1079,2151,2024,Established,Grocery
526,2153,278,Established,Grocery
618,2166,522,Established,Grocery
619,2166,522,Established,Grocery
279,2210,4412,Established,Pharmaceutical
1079,2223,2024,Established,Grocery
913,2227,1134,Established,Grocery
913,2234,1134,Established,Grocery
913,2239,1134,Established,Grocery
488,2245,4817,Established,Grocery
488,2247,4817,Established,Grocery
488,2254,4817,Established,Grocery
913,2262,1134,Established,Grocery
488,2264,4817,Established,Grocery
562,2265,360,Established,Grocery
488,2276,4817,Established,Grocery
488,2277,4817,Established,Grocery
488,2287,4817,Established,Grocery
488,2291,4817,Established,Grocery
43,2300,2074,Established,Grocery
42,2300,2074,Established,Grocery
488,2301,4817,Established,Grocery
597,2322,487,Established,Grocery
488,2328,4817,Established,Grocery
597,2331,487,Established,Grocery
597,2332,487,Established,Grocery
43,2340,206,Established,Grocery
42,2340,206,Established,Grocery
105,2360,56,Local,Grocery
664,2375,673,Established,Pharmaceutical
597,2382,487,Established,Grocery
981,2398,1335,Established,Grocery
562,2399,360,Established,Grocery
43,2407,206,Established,Grocery
42,2407,206,Established,Grocery
982,2427,1337,Established,Grocery
597,2428,487,Established,Grocery
567,2432,386,Established,Grocery
825,2445,57,Established,Grocery
822,2445,57,Established,Grocery
551,2446,4856,Established,Grocery
580,2458,446,Established,Natural Products
457,2459,158,Established,Pharmaceutical
982,2462,1337,Established,Grocery
907,2463,1124,Established,Grocery
580,2472,446,Established,Natural Products
42,2479,919,Established,Grocery
43,2479,919,Established,Grocery
906,2484,1124,Established,Grocery
466,2489,172,Established,Grocery
43,2490,56,Local,Grocery
42,2490,56,Local,Grocery
689,2507,686,Established,Pharmaceutical
662,2512,673,Established,Pharmaceutical
578,2513,412,Established,Grocery
838,2514,2088,Established,Pharmaceutical
1098,2514,2088,Established,Pharmaceutical
1097,2514,2088,Established,Pharmaceutical
840,2514,2088,Established,Pharmaceutical
42,2517,231,Established,Grocery
43,2517,231,Established,Grocery
662,2528,673,Established,Pharmaceutical
803,2567,4568,Established,Grocery
803,2571,4568,Established,Grocery
597,2605,487,Established,Grocery
568,2615,387,Established,Grocery
43,2618,206,Established,Grocery
42,2618,206,Established,Grocery
526,2623,278,Established,Grocery
568,2625,387,Established,Grocery
913,2633,1134,Established,Grocery
910,2637,1128,Established,Pharmaceutical
568,2645,387,Established,Grocery
1043,2648,1756,Established,Pharmaceutical
783,2667,946,Established,Grocery
612,2672,501,Established,Grocery
468,2677,172,Established,Grocery
783,2688,946,Established,Grocery
1023,2692,1587,Established,Grocery
523,2711,278,Established,Grocery
523,2713,278,Established,Grocery
783,2730,946,Established,Grocery
913,2733,1134,Established,Grocery
514,2743,248,Established,Grocery
42,2747,4989,Established,Grocery
43,2747,4989,Established,Grocery
628,2748,544,Established,Grocery
43,2756,56,Local,Grocery
42,2756,56,Local,Grocery
43,2767,56,Local,Grocery
42,2767,56,Local,Grocery
43,2769,56,Local,Grocery
42,2769,56,Local,Grocery
43,2770,206,Established,Grocery
42,2770,206,Established,Grocery
43,2772,206,Established,Grocery
42,2772,206,Established,Grocery
40,2774,56,Local,"Dairy, Juices & Snacks"
19,2774,56,Local,"Dairy, Juices & Snacks"
43,2777,2074,Established,Grocery
42,2777,2074,Established,Grocery
43,2782,56,Local,Grocery
42,2782,56,Local,Grocery
628,2795,544,Established,Grocery
43,2810,56,Local,Grocery
42,2810,56,Local,Grocery
43,2824,206,Established,Grocery
42,2824,206,Established,Grocery
783,2834,946,Established,Grocery
847,2838,1016,Established,Grocery
417,2848,89,Established,Grocery
418,2848,89,Established,Grocery
783,2850,946,Established,Grocery
982,2851,1337,Established,Grocery
783,2872,946,Established,Grocery
803,2881,4568,Established,Grocery
803,2883,4568,Established,Grocery
803,2884,4568,Established,Grocery
705,2895,714,Established,Grocery
1023,2916,1587,Established,Grocery
906,2917,1124,Established,Grocery
43,2925,2074,Established,Grocery
42,2925,2074,Established,Grocery
906,2926,1124,Established,Grocery
43,2931,2074,Established,Grocery
42,2931,2074,Established,Grocery
803,2938,4568,Established,Grocery
43,2941,2074,Established,Grocery
42,2941,2074,Established,Grocery
43,2968,2074,Established,Grocery
42,2968,2074,Established,Grocery
43,2970,2074,Established,Grocery
42,2970,2074,Established,Grocery
982,2975,1337,Established,Grocery
938,3000,1162,Established,Pharmaceutical
43,3004,2074,Established,Grocery
42,3004,2074,Established,Grocery
841,3010,2088,Established,Pharmaceutical
1088,3010,2088,Established,Pharmaceutical
1089,3010,2088,Established,Pharmaceutical
689,3031,686,Established,Pharmaceutical
703,3043,714,Established,Grocery
43,3046,206,Established,Grocery
42,3046,206,Established,Grocery
41,3051,1636,Established,Grocery
1026,3051,1636,Established,Grocery
562,3054,360,Established,Grocery
1091,3060,2088,Established,Pharmaceutical
1092,3060,2088,Established,Pharmaceutical
906,3061,1124,Established,Grocery
43,3063,2074,Established,Grocery
42,3063,2074,Established,Grocery
41,3076,1636,Established,Grocery
1026,3076,1636,Established,Grocery
41,3077,1636,Established,Grocery
1026,3077,1636,Established,Grocery
41,3080,1636,Established,Grocery
1026,3080,1636,Established,Grocery
703,3087,714,Established,Grocery
41,3093,1636,Established,Grocery
1026,3093,1636,Established,Grocery
703,3094,714,Established,Grocery
41,3100,1636,Established,Grocery
1026,3100,1636,Established,Grocery
492,3106,209,Established,Grocery
496,3106,209,Established,Grocery
726,3109,782,Established,Grocery
347,3113,56,Local,Grocery
597,3118,487,Established,Grocery
107,3121,56,Local,Grocery
993,3123,1427,Established,Grocery
982,3126,1337,Established,Grocery
496,3128,209,Established,Grocery
44,3141,867,Established,Grocery
982,3143,1337,Established,Grocery
562,3144,360,Established,Grocery
385,3162,57,Established,Grocery
384,3162,57,Established,Grocery
432,3163,119,Established,Grocery
494,3165,209,Established,Grocery
42,3170,986,Established,Grocery
43,3170,986,Established,Grocery
1048,3177,1796,Established,Grocery
42,3178,334,Established,Grocery
43,3178,334,Established,Grocery
492,3184,209,Established,Grocery
796,3198,967,Established,Grocery
107,3200,56,Local,Grocery
488,3208,4817,Established,Grocery
496,3211,209,Established,Grocery
781,3215,939,Established,Grocery
37,3216,4467,Established,Pharmaceutical
1109,3217,2320,Established,Grocery
529,3226,278,Established,Grocery
841,3229,2088,Established,Pharmaceutical
1088,3229,2088,Established,Pharmaceutical
1089,3229,2088,Established,Pharmaceutical
651,3231,634,Established,Grocery
650,3231,634,Established,Grocery
43,3233,2074,Established,Grocery
42,3233,2074,Established,Grocery
913,3244,1134,Established,Grocery
488,3249,4817,Established,Grocery
43,3259,2074,Established,Grocery
42,3259,2074,Established,Grocery
522,3264,278,Established,Grocery
524,3264,278,Established,Grocery
529,3264,278,Established,Grocery
520,3264,278,Established,Grocery
518,3264,278,Established,Grocery
527,3284,278,Established,Grocery
43,3285,1101,Established,Grocery
42,3285,1101,Established,Grocery
869,3291,1075,Established,Grocery
870,3291,1075,Established,Grocery
868,3291,1075,Established,Grocery
44,3299,1124,Established,Grocery
492,3302,209,Established,Grocery
981,3307,1335,Established,Grocery
109,3309,56,Local,Grocery
315,3309,56,Local,Grocery
488,3321,4817,Established,Grocery
43,3331,2074,Established,Grocery
42,3331,2074,Established,Grocery
705,3333,714,Established,Grocery
468,3340,172,Established,Grocery
982,3343,1337,Established,Grocery
869,3344,1075,Established,Grocery
868,3344,1075,Established,Grocery
870,3344,1075,Established,Grocery
1016,3349,1558,Established,Grocery
441,3351,133,Established,Grocery
982,3355,1337,Established,Grocery
522,3356,278,Established,Grocery
518,3356,278,Established,Grocery
520,3356,278,Established,Grocery
524,3356,278,Established,Grocery
529,3356,278,Established,Grocery
529,3365,278,Established,Grocery
40,3370,56,Local,"Dairy, Juices & Snacks"
19,3370,56,Local,"Dairy, Juices & Snacks"
744,3379,826,Established,Grocery
389,3380,57,Established,Pharmaceutical
834,3380,57,Established,Pharmaceutical
833,3380,57,Established,Pharmaceutical
390,3380,57,Established,Pharmaceutical
401,3380,57,Established,Pharmaceutical
42,3385,1300,Established,Grocery
43,3385,1300,Established,Grocery
783,3391,946,Established,Grocery
982,3396,1337,Established,Grocery
1023,3397,1587,Established,Grocery
796,3409,967,Established,Grocery
43,3410,334,Established,Grocery
42,3410,334,Established,Grocery
42,3413,2446,Established,Grocery
43,3413,2446,Established,Grocery
526,3424,278,Established,Grocery
403,3428,57,Established,Grocery
405,3428,57,Established,Grocery
404,3428,57,Established,Grocery
662,3431,673,Established,Pharmaceutical
705,3432,714,Established,Grocery
441,3440,133,Established,Grocery
522,3443,278,Established,Grocery
524,3443,278,Established,Grocery
529,3443,278,Established,Grocery
520,3443,278,Established,Grocery
518,3443,278,Established,Grocery
878,3456,1088,Established,Grocery
671,3463,676,Established,Grocery
670,3463,676,Established,Grocery
783,3466,946,Established,Grocery
783,3472,946,Established,Grocery
107,3478,56,Local,Grocery
584,3490,461,Established,Grocery
841,3491,2088,Established,Pharmaceutical
1088,3491,2088,Established,Pharmaceutical
1089,3491,2088,Established,Pharmaceutical
599,3496,487,Established,Grocery
596,3496,487,Established,Grocery
43,3504,206,Established,Grocery
42,3504,206,Established,Grocery
43,3506,2074,Established,Grocery
42,3506,2074,Established,Grocery
42,3512,231,Established,Grocery
43,3512,231,Established,Grocery
869,3514,1075,Established,Grocery
870,3514,1075,Established,Grocery
868,3514,1075,Established,Grocery
488,3522,4817,Established,Grocery
266,3529,4346,Established,Pharmaceutical
596,3536,487,Established,Grocery
522,3544,278,Established,Grocery
518,3544,278,Established,Grocery
524,3544,278,Established,Grocery
529,3544,278,Established,Grocery
520,3544,278,Established,Grocery
40,3551,56,Local,"Dairy, Juices & Snacks"
